GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US06073017056,06073017056,"Census Tract 170.56, San Diego County, California",36.2,3.2,36.2,5.4,36.1,3.4
1400000US06073017104,06073017104,"Census Tract 171.04, San Diego County, California",42.6,1.9,41.4,5.3,43.5,3.5
1400000US06073017106,06073017106,"Census Tract 171.06, San Diego County, California",47.7,3.0,47.7,7.3,47.7,3.6
1400000US06073017107,06073017107,"Census Tract 171.07, San Diego County, California",43.5,2.0,42.7,3.7,43.8,2.4
1400000US06073017108,06073017108,"Census Tract 171.08, San Diego County, California",41.9,1.9,41.9,2.3,42.0,3.1
1400000US06073017109,06073017109,"Census Tract 171.09, San Diego County, California",37.1,2.3,37.1,6.1,37.0,4.1
1400000US06073017110,06073017110,"Census Tract 171.10, San Diego County, California",34.4,1.9,32.5,6.5,34.9,3.2
1400000US06073017200,06073017200,"Census Tract 172, San Diego County, California",49.8,5.6,48.9,5.4,52.9,5.5
1400000US06073017303,06073017303,"Census Tract 173.03, San Diego County, California",42.4,4.3,41.1,4.8,44.4,8.1
1400000US06073017304,06073017304,"Census Tract 173.04, San Diego County, California",39.0,5.5,39.2,6.0,38.8,6.8
1400000US06073017305,06073017305,"Census Tract 173.05, San Diego County, California",55.1,2.4,55.2,5.1,55.1,2.2
1400000US06073017306,06073017306,"Census Tract 173.06, San Diego County, California",53.9,3.4,55.1,6.8,53.5,4.1
1400000US06073017401,06073017401,"Census Tract 174.01, San Diego County, California",40.3,2.3,40.7,1.6,38.7,3.9
1400000US06073017403,06073017403,"Census Tract 174.03, San Diego County, California",46.0,4.0,42.9,2.8,51.1,3.8
1400000US06073017404,06073017404,"Census Tract 174.04, San Diego County, California",40.1,3.3,40.1,5.4,40.0,4.4
1400000US06073017501,06073017501,"Census Tract 175.01, San Diego County, California",39.3,4.4,35.7,5.4,42.6,4.9
1400000US06073017502,06073017502,"Census Tract 175.02, San Diego County, California",37.1,4.6,36.0,8.7,37.6,4.4
1400000US06073017601,06073017601,"Census Tract 176.01, San Diego County, California",51.3,3.7,52.6,4.5,50.6,4.4
1400000US06073017603,06073017603,"Census Tract 176.03, San Diego County, California",45.0,2.3,46.0,3.9,44.7,2.7
1400000US06073017604,06073017604,"Census Tract 176.04, San Diego County, California",40.4,2.5,38.6,3.9,41.5,2.3
1400000US06073017701,06073017701,"Census Tract 177.01, San Diego County, California",36.0,2.6,36.5,2.2,35.3,5.1
1400000US06073017702,06073017702,"Census Tract 177.02, San Diego County, California",36.6,3.0,34.9,2.4,38.9,5.5
1400000US06073017801,06073017801,"Census Tract 178.01, San Diego County, California",40.4,3.3,38.8,2.0,44.2,7.6
1400000US06073017808,06073017808,"Census Tract 178.08, San Diego County, California",51.0,2.0,53.8,3.6,49.8,4.1
1400000US06073017809,06073017809,"Census Tract 178.09, San Diego County, California",44.6,2.3,44.2,2.2,44.9,3.9
1400000US06073017810,06073017810,"Census Tract 178.10, San Diego County, California",46.7,2.5,45.6,2.3,47.9,5.0
1400000US06073017811,06073017811,"Census Tract 178.11, San Diego County, California",41.6,1.5,39.5,3.5,44.3,3.1
1400000US06073017813,06073017813,"Census Tract 178.13, San Diego County, California",45.8,4.4,45.5,4.7,46.1,6.5
1400000US06073017900,06073017900,"Census Tract 179, San Diego County, California",38.5,2.3,37.8,2.9,39.3,3.8
1400000US06073018000,06073018000,"Census Tract 180, San Diego County, California",34.9,4.3,34.6,2.9,37.6,5.4
1400000US06073018100,06073018100,"Census Tract 181, San Diego County, California",35.9,4.2,39.4,5.1,32.8,3.9
1400000US06073018200,06073018200,"Census Tract 182, San Diego County, California",27.2,2.4,25.2,2.6,31.4,3.5
1400000US06073018300,06073018300,"Census Tract 183, San Diego County, California",46.0,6.7,44.8,5.9,48.7,11.6
1400000US06073018400,06073018400,"Census Tract 184, San Diego County, California",35.0,4.3,31.9,5.6,36.4,5.1
1400000US06073018504,06073018504,"Census Tract 185.04, San Diego County, California",36.2,2.6,34.3,3.4,40.2,4.4
1400000US06073018507,06073018507,"Census Tract 185.07, San Diego County, California",33.7,2.3,33.4,3.3,34.1,3.5
1400000US06073018509,06073018509,"Census Tract 185.09, San Diego County, California",28.5,2.0,27.9,2.4,29.2,3.5
1400000US06073018510,06073018510,"Census Tract 185.10, San Diego County, California",35.0,4.3,35.1,2.5,34.6,9.1
1400000US06073018511,06073018511,"Census Tract 185.11, San Diego County, California",35.3,2.2,35.1,6.8,36.0,2.5
1400000US06073018512,06073018512,"Census Tract 185.12, San Diego County, California",62.9,6.2,52.0,21.1,67.5,2.9
1400000US06073018513,06073018513,"Census Tract 185.13, San Diego County, California",31.9,3.3,31.4,5.0,32.5,3.6
1400000US06073018514,06073018514,"Census Tract 185.14, San Diego County, California",38.8,2.4,35.5,5.0,40.0,3.6
1400000US06073018515,06073018515,"Census Tract 185.15, San Diego County, California",46.8,2.5,45.5,3.1,47.9,1.4
1400000US06073018516,06073018516,"Census Tract 185.16, San Diego County, California",32.7,1.7,33.1,2.1,32.1,3.8
1400000US06073018517,06073018517,"Census Tract 185.17, San Diego County, California",35.0,5.3,33.5,5.4,35.8,10.5
1400000US06073018518,06073018518,"Census Tract 185.18, San Diego County, California",32.4,2.8,31.6,3.6,33.3,3.9
1400000US06073018519,06073018519,"Census Tract 185.19, San Diego County, California",28.3,2.6,25.8,2.5,29.7,3.9
1400000US06073018601,06073018601,"Census Tract 186.01, San Diego County, California",36.9,2.5,36.5,4.1,37.5,3.9
1400000US06073018603,06073018603,"Census Tract 186.03, San Diego County, California",28.8,2.2,27.6,1.9,31.5,3.0
1400000US06073018608,06073018608,"Census Tract 186.08, San Diego County, California",37.4,2.6,34.2,3.8,38.9,1.8
1400000US06073018609,06073018609,"Census Tract 186.09, San Diego County, California",33.3,2.1,34.3,2.8,32.7,2.5
1400000US06073018610,06073018610,"Census Tract 186.10, San Diego County, California",28.2,3.0,26.8,2.7,29.4,3.2
1400000US06073018611,06073018611,"Census Tract 186.11, San Diego County, California",38.9,2.2,38.1,5.4,40.3,1.6
1400000US06073018612,06073018612,"Census Tract 186.12, San Diego County, California",31.9,4.8,30.6,4.2,35.9,9.3
1400000US06073018613,06073018613,"Census Tract 186.13, San Diego County, California",29.8,4.4,29.5,2.0,32.2,7.6
1400000US06073018614,06073018614,"Census Tract 186.14, San Diego County, California",39.2,3.6,39.0,4.8,39.4,5.6
1400000US06073018700,06073018700,"Census Tract 187, San Diego County, California",21.6,0.2,21.6,0.2,21.7,0.9
1400000US06073018801,06073018801,"Census Tract 188.01, San Diego County, California",49.0,3.2,49.3,3.3,48.8,4.8
1400000US06073018802,06073018802,"Census Tract 188.02, San Diego County, California",54.7,1.8,53.9,2.9,55.3,1.9
1400000US06073018803,06073018803,"Census Tract 188.03, San Diego County, California",47.1,6.8,47.5,7.0,46.0,9.0
1400000US06073018903,06073018903,"Census Tract 189.03, San Diego County, California",35.3,3.2,32.9,4.8,36.0,3.9
1400000US06073018904,06073018904,"Census Tract 189.04, San Diego County, California",30.4,1.9,30.6,1.4,28.8,4.5
1400000US06073018905,06073018905,"Census Tract 189.05, San Diego County, California",28.3,1.7,26.3,3.6,30.5,4.8
1400000US06073018906,06073018906,"Census Tract 189.06, San Diego County, California",32.5,5.4,30.5,6.8,35.3,3.9
1400000US06073019001,06073019001,"Census Tract 190.01, San Diego County, California",52.5,1.7,52.1,2.8,52.8,2.0
1400000US06073019002,06073019002,"Census Tract 190.02, San Diego County, California",42.8,4.1,46.9,2.8,38.9,6.6
1400000US06073019101,06073019101,"Census Tract 191.01, San Diego County, California",32.4,3.0,33.3,6.0,31.8,3.4
1400000US06073019103,06073019103,"Census Tract 191.03, San Diego County, California",49.0,6.0,46.4,5.3,50.1,5.3
1400000US06073019105,06073019105,"Census Tract 191.05, San Diego County, California",52.0,8.8,51.1,11.4,52.6,7.0
1400000US06073019106,06073019106,"Census Tract 191.06, San Diego County, California",40.1,4.7,40.0,7.2,40.2,5.6
1400000US06073019107,06073019107,"Census Tract 191.07, San Diego County, California",42.2,11.9,50.0,14.2,39.4,6.4
1400000US06073019203,06073019203,"Census Tract 192.03, San Diego County, California",45.6,3.7,43.7,2.0,47.3,2.5
1400000US06073019205,06073019205,"Census Tract 192.05, San Diego County, California",39.6,4.6,38.8,4.5,41.8,7.2
1400000US06073019206,06073019206,"Census Tract 192.06, San Diego County, California",30.3,1.1,30.1,2.1,30.6,1.2
1400000US06073019207,06073019207,"Census Tract 192.07, San Diego County, California",36.1,4.0,33.8,3.0,38.9,4.8
1400000US06073019208,06073019208,"Census Tract 192.08, San Diego County, California",51.0,2.4,50.8,4.0,51.0,2.1
1400000US06073019301,06073019301,"Census Tract 193.01, San Diego County, California",40.4,2.9,39.9,3.8,41.0,5.9
1400000US06073019302,06073019302,"Census Tract 193.02, San Diego County, California",38.3,4.7,35.2,4.2,43.0,2.6
