TRACT,YEAR,UNIT TYPE,UNITS,OCCUPIED,UNOCCUPIED,VACANCY RATE
55,2035,Single Family - Detached,0,0,0,
55,2040,Mobile Home,0,0,0,
55,2040,Multifamily,13,13,0,0
55,2040,Single Family - Detached,0,0,0,
55,2045,Mobile Home,0,0,0,
55,2045,Multifamily,13,13,0,0
55,2045,Single Family - Detached,0,0,0,
55,2050,Mobile Home,0,0,0,
55,2050,Multifamily,13,13,0,0
55,2050,Single Family - Detached,0,0,0,
56,2012,Mobile Home,0,0,0,
56,2012,Multifamily,3211,2894,317,0.0987231392089692
56,2012,Single Family - Detached,15,21,-6,-0.4
56,2020,Mobile Home,0,0,0,
56,2020,Multifamily,3328,2874,454,0.136418269230769
56,2020,Single Family - Detached,15,20,-5,-0.333333333333333
56,2025,Mobile Home,0,0,0,
56,2025,Multifamily,4185,3772,413,0.0986857825567503
56,2025,Single Family - Detached,12,15,-3,-0.25
56,2030,Mobile Home,0,0,0,
56,2030,Multifamily,4681,4161,520,0.11108737449263
56,2030,Single Family - Detached,12,15,-3,-0.25
56,2035,Mobile Home,0,0,0,
56,2035,Multifamily,5336,4661,675,0.126499250374813
56,2035,Single Family - Detached,12,15,-3,-0.25
56,2040,Mobile Home,0,0,0,
56,2040,Multifamily,5616,4749,867,0.154380341880342
56,2040,Single Family - Detached,12,15,-3,-0.25
56,2045,Mobile Home,0,0,0,
56,2045,Multifamily,5620,4520,1100,0.195729537366548
56,2045,Single Family - Detached,12,15,-3,-0.25
56,2050,Mobile Home,0,0,0,
56,2050,Multifamily,5631,4403,1228,0.21807849405079
56,2050,Single Family - Detached,12,15,-3,-0.25
57,2012,Mobile Home,0,0,0,
57,2012,Multifamily,1103,843,260,0.235720761559384
57,2012,Single Family - Detached,49,49,0,0
57,2020,Mobile Home,0,0,0,
57,2020,Multifamily,1103,831,272,0.246600181323663
57,2020,Single Family - Detached,49,49,0,0
57,2025,Mobile Home,0,0,0,
57,2025,Multifamily,1103,830,273,0.247506799637353
57,2025,Single Family - Detached,49,50,-1,-0.0204081632653061
57,2030,Mobile Home,0,0,0,
57,2030,Multifamily,1103,808,295,0.267452402538531
57,2030,Single Family - Detached,49,47,2,0.0408163265306122
57,2035,Mobile Home,0,0,0,
57,2035,Multifamily,1163,844,319,0.274290627687016
57,2035,Single Family - Detached,49,48,1,0.0204081632653061
57,2040,Mobile Home,0,0,0,
57,2040,Multifamily,1200,862,338,0.281666666666667
57,2040,Single Family - Detached,45,43,2,0.0444444444444444
57,2045,Mobile Home,0,0,0,
57,2045,Multifamily,1330,974,356,0.267669172932331
57,2045,Single Family - Detached,33,27,6,0.181818181818182
57,2050,Mobile Home,0,0,0,
57,2050,Multifamily,1581,1273,308,0.194813409234662
57,2050,Single Family - Detached,19,14,5,0.263157894736842
58,2012,Mobile Home,0,0,0,
58,2012,Multifamily,2579,1630,949,0.367972082202404
58,2012,Single Family - Detached,84,55,29,0.345238095238095
58,2020,Mobile Home,0,0,0,
58,2020,Multifamily,2825,1893,932,0.329911504424779
58,2020,Single Family - Detached,84,55,29,0.345238095238095
58,2025,Mobile Home,0,0,0,
58,2025,Multifamily,2901,1922,979,0.337469837986901
58,2025,Single Family - Detached,84,60,24,0.285714285714286
58,2030,Mobile Home,0,0,0,
58,2030,Multifamily,3162,2185,977,0.308981657179001
58,2030,Single Family - Detached,78,55,23,0.294871794871795
58,2035,Mobile Home,0,0,0,
58,2035,Multifamily,4820,3750,1070,0.221991701244813
58,2035,Single Family - Detached,69,49,20,0.289855072463768
