GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073016902,06073016902,"Census Tract 169.02, San Diego County, California",1832,226,1261,217,0,132,448,157,28,33,0,132,36,53,59,56,0,132,59,56
1400000US06073017006,06073017006,"Census Tract 170.06, San Diego County, California",2965,162,2467,256,131,202,0,132,222,145,0,132,69,98,76,66,0,132,76,66
1400000US06073017007,06073017007,"Census Tract 170.07, San Diego County, California",8823,391,7649,506,46,45,149,231,601,196,0,132,36,34,342,256,42,40,300,250
1400000US06073017009,06073017009,"Census Tract 170.09, San Diego County, California",3788,340,3330,367,33,50,13,20,253,89,0,132,48,55,111,78,0,132,111,78
1400000US06073017010,06073017010,"Census Tract 170.10, San Diego County, California",3162,181,2706,175,0,132,0,132,242,106,0,132,60,45,154,104,44,55,110,93
1400000US06073017014,06073017014,"Census Tract 170.14, San Diego County, California",2492,217,2302,221,0,132,9,14,137,52,0,132,44,53,0,132,0,132,0,132
1400000US06073017015,06073017015,"Census Tract 170.15, San Diego County, California",7446,501,5722,555,185,150,0,132,964,267,0,132,259,229,316,228,62,60,254,195
1400000US06073017018,06073017018,"Census Tract 170.18, San Diego County, California",4162,299,2444,364,118,69,17,25,1120,224,0,132,212,102,251,127,86,90,165,98
1400000US06073017019,06073017019,"Census Tract 170.19, San Diego County, California",6429,429,5745,462,65,54,0,132,403,116,0,132,61,66,155,96,12,21,143,90
1400000US06073017020,06073017020,"Census Tract 170.20, San Diego County, California",3793,324,3357,305,150,230,0,132,248,135,0,132,38,70,0,132,0,132,0,132
1400000US06073017021,06073017021,"Census Tract 170.21, San Diego County, California",3064,250,2939,262,0,132,0,132,80,73,0,132,35,41,10,15,0,132,10,15
1400000US06073017022,06073017022,"Census Tract 170.22, San Diego County, California",5242,348,4216,340,122,121,9,17,286,155,156,173,145,115,308,179,0,132,308,179
1400000US06073017026,06073017026,"Census Tract 170.26, San Diego County, California",8651,477,6056,533,508,350,39,44,1695,418,0,132,203,186,150,88,18,29,132,85
1400000US06073017029,06073017029,"Census Tract 170.29, San Diego County, California",6854,624,5540,692,98,128,0,132,864,262,0,132,136,108,216,121,7,12,209,121
1400000US06073017030,06073017030,"Census Tract 170.30, San Diego County, California",13179,605,8677,558,285,152,27,31,3532,471,35,54,127,118,496,227,50,49,446,226
1400000US06073017031,06073017031,"Census Tract 170.31, San Diego County, California",3515,303,2887,312,0,132,73,96,473,150,0,132,46,64,36,36,0,132,36,36
1400000US06073017032,06073017032,"Census Tract 170.32, San Diego County, California",13169,725,8166,725,579,264,0,132,3836,508,9,14,123,90,456,213,33,28,423,205
1400000US06073017033,06073017033,"Census Tract 170.33, San Diego County, California",5164,306,3252,306,59,60,0,132,1232,176,0,132,142,131,479,206,31,47,448,211
1400000US06073017034,06073017034,"Census Tract 170.34, San Diego County, California",4819,332,3455,382,148,132,35,53,838,191,0,132,173,80,170,93,46,50,124,79
1400000US06073017035,06073017035,"Census Tract 170.35, San Diego County, California",2685,195,1484,259,147,100,82,67,802,220,0,132,37,46,133,102,0,132,133,102
1400000US06073017036,06073017036,"Census Tract 170.36, San Diego County, California",3808,541,2402,448,397,391,11,18,627,230,0,132,112,92,259,159,127,108,132,93
1400000US06073017037,06073017037,"Census Tract 170.37, San Diego County, California",6546,356,4426,376,130,108,136,145,1378,279,0,132,100,68,376,149,42,45,334,138
1400000US06073017038,06073017038,"Census Tract 170.38, San Diego County, California",8987,652,5752,697,356,195,51,52,2293,466,0,132,252,227,283,127,33,40,250,126
1400000US06073017039,06073017039,"Census Tract 170.39, San Diego County, California",6694,286,3982,441,338,276,29,34,1995,508,0,132,32,51,318,195,75,64,243,176
1400000US06073017040,06073017040,"Census Tract 170.40, San Diego County, California",4462,370,3210,450,133,203,0,132,418,108,0,132,213,128,488,442,61,54,427,426
1400000US06073017041,06073017041,"Census Tract 170.41, San Diego County, California",6836,554,5150,461,206,159,0,132,520,195,0,132,529,480,431,324,51,47,380,327
1400000US06073017042,06073017042,"Census Tract 170.42, San Diego County, California",8165,536,5173,461,149,116,0,132,2380,521,0,132,184,130,279,149,41,38,238,143
1400000US06073017043,06073017043,"Census Tract 170.43, San Diego County, California",5586,369,2967,431,165,135,0,132,1960,356,0,132,142,108,352,147,99,77,253,131
1400000US06073017044,06073017044,"Census Tract 170.44, San Diego County, California",5963,311,3631,380,269,297,15,23,1621,347,0,132,74,76,353,173,0,132,353,173
1400000US06073017045,06073017045,"Census Tract 170.45, San Diego County, California",2973,259,1905,236,213,167,0,132,731,208,0,132,52,47,72,64,25,42,47,47
1400000US06073017046,06073017046,"Census Tract 170.46, San Diego County, California",4034,156,2856,188,64,74,0,132,905,176,0,132,70,70,139,115,0,132,139,115
1400000US06073017047,06073017047,"Census Tract 170.47, San Diego County, California",4057,225,3423,283,97,83,0,132,363,133,0,132,74,65,100,118,0,132,100,118
1400000US06073017048,06073017048,"Census Tract 170.48, San Diego County, California",6197,480,5124,497,31,51,71,57,525,205,0,132,208,140,238,157,45,73,193,144
1400000US06073017049,06073017049,"Census Tract 170.49, San Diego County, California",3322,235,2856,272,0,132,0,132,202,105,0,132,132,78,132,120,0,132,132,120
1400000US06073017050,06073017050,"Census Tract 170.50, San Diego County, California",2894,183,2444,209,0,132,0,132,420,214,0,132,0,132,30,28,0,132,30,28
1400000US06073017104,06073017104,"Census Tract 171.04, San Diego County, California",4211,463,3880,505,22,26,0,132,116,72,0,132,99,108,94,102,0,132,94,102
1400000US06073017105,06073017105,"Census Tract 171.05, San Diego County, California",13495,593,12107,636,44,45,0,132,813,263,0,132,296,203,235,135,0,132,235,135
1400000US06073017106,06073017106,"Census Tract 171.06, San Diego County, California",4278,552,4088,544,0,132,33,38,116,83,0,132,5,15,36,68,0,132,36,68
1400000US06073017107,06073017107,"Census Tract 171.07, San Diego County, California",2701,141,2483,217,0,132,0,132,144,101,0,132,9,15,65,84,0,132,65,84
1400000US06073017108,06073017108,"Census Tract 171.08, San Diego County, California",4641,289,4166,312,0,132,8,13,180,89,0,132,143,134,144,105,15,24,129,103
1400000US06073017200,06073017200,"Census Tract 172, San Diego County, California",4410,21,4046,311,0,132,0,132,100,105,0,132,55,62,209,221,0,132,209,221
1400000US06073017303,06073017303,"Census Tract 173.03, San Diego County, California",3225,305,2899,285,188,275,0,132,109,90,0,132,29,27,0,132,0,132,0,132
1400000US06073017304,06073017304,"Census Tract 173.04, San Diego County, California",5165,442,4227,546,88,133,28,42,219,208,0,132,500,416,103,94,23,34,80,92
1400000US06073017305,06073017305,"Census Tract 173.05, San Diego County, California",3002,163,2761,169,49,59,14,27,157,89,0,132,6,11,15,24,0,132,15,24
1400000US06073017306,06073017306,"Census Tract 173.06, San Diego County, California",3003,283,2674,315,0,132,0,132,225,132,0,132,33,52,71,58,12,19,59,55
1400000US06073017401,06073017401,"Census Tract 174.01, San Diego County, California",5895,533,5240,500,34,56,0,132,123,102,70,117,147,153,281,202,30,47,251,197
1400000US06073017403,06073017403,"Census Tract 174.03, San Diego County, California",5079,286,4539,301,14,23,0,132,260,167,0,132,152,157,114,71,38,38,76,58
1400000US06073017404,06073017404,"Census Tract 174.04, San Diego County, California",6709,484,5612,653,44,49,16,25,308,166,56,77,225,204,448,246,95,96,353,237
1400000US06073017501,06073017501,"Census Tract 175.01, San Diego County, California",2532,250,2360,250,64,59,0,132,63,53,20,30,5,10,20,31,0,132,20,31
1400000US06073017502,06073017502,"Census Tract 175.02, San Diego County, California",4120,544,3210,546,10,16,0,132,126,102,19,22,676,403,79,57,0,132,79,57
1400000US06073017601,06073017601,"Census Tract 176.01, San Diego County, California",4351,293,4003,328,16,27,0,132,143,102,0,132,145,135,44,47,0,132,44,47
1400000US06073017603,06073017603,"Census Tract 176.03, San Diego County, California",2176,130,2080,147,0,132,0,132,70,57,0,132,26,41,0,132,0,132,0,132
1400000US06073017604,06073017604,"Census Tract 176.04, San Diego County, California",6436,434,5453,511,21,35,0,132,474,270,0,132,126,99,362,178,188,109,174,140
1400000US06073017701,06073017701,"Census Tract 177.01, San Diego County, California",5007,608,4279,576,52,59,37,53,57,52,18,29,504,376,60,56,14,23,46,48
1400000US06073017702,06073017702,"Census Tract 177.02, San Diego County, California",2739,306,2391,282,0,132,0,132,106,86,0,132,57,70,185,162,37,51,148,149
1400000US06073017801,06073017801,"Census Tract 178.01, San Diego County, California",5980,488,5323,528,53,68,42,49,246,159,0,132,115,93,201,151,10,17,191,150
1400000US06073017805,06073017805,"Census Tract 178.05, San Diego County, California",3926,296,3616,347,0,132,0,132,182,134,0,132,10,18,118,84,41,37,77,73
1400000US06073017806,06073017806,"Census Tract 178.06, San Diego County, California",2425,247,2048,182,12,19,0,132,190,88,28,42,113,125,34,58,0,132,34,58
1400000US06073017808,06073017808,"Census Tract 178.08, San Diego County, California",5848,388,5204,382,64,77,10,16,362,222,0,132,144,125,64,61,57,60,7,11
1400000US06073017809,06073017809,"Census Tract 178.09, San Diego County, California",2202,202,2106,205,0,132,0,132,43,42,0,132,0,132,53,90,0,132,53,90
1400000US06073017810,06073017810,"Census Tract 178.10, San Diego County, California",4673,338,4056,355,0,132,0,132,115,75,0,132,292,237,210,144,0,132,210,144
1400000US06073017811,06073017811,"Census Tract 178.11, San Diego County, California",5629,385,4887,381,14,22,14,23,494,185,0,132,72,60,148,111,27,33,121,105
1400000US06073017812,06073017812,"Census Tract 178.12, San Diego County, California",6176,420,4904,601,39,54,11,17,627,249,0,132,520,250,75,69,0,132,75,69
1400000US06073017900,06073017900,"Census Tract 179, San Diego County, California",6057,589,4925,567,19,31,0,132,154,96,0,132,775,395,184,108,46,48,138,93
1400000US06073018000,06073018000,"Census Tract 180, San Diego County, California",2795,250,2582,268,33,54,0,132,131,87,0,132,49,50,0,132,0,132,0,132
1400000US06073018100,06073018100,"Census Tract 181, San Diego County, California",5451,531,4126,564,181,156,43,74,268,134,0,132,389,257,444,214,18,27,426,218
1400000US06073018200,06073018200,"Census Tract 182, San Diego County, California",6955,607,4396,848,35,40,0,132,149,132,0,132,2057,686,318,231,53,91,265,209
1400000US06073018300,06073018300,"Census Tract 183, San Diego County, California",3229,548,2678,449,70,97,11,17,54,56,0,132,185,131,231,114,39,46,192,113
1400000US06073018400,06073018400,"Census Tract 184, San Diego County, California",2989,526,1737,369,62,67,0,132,247,233,0,132,859,451,84,102,11,17,73,99
1400000US06073018504,06073018504,"Census Tract 185.04, San Diego County, California",6699,603,4866,558,434,322,31,23,256,163,23,37,559,407,530,373,22,31,508,378
1400000US06073018507,06073018507,"Census Tract 185.07, San Diego County, California",9956,768,4495,633,639,242,241,228,1260,382,0,132,2855,783,466,216,202,158,264,147
1400000US06073018509,06073018509,"Census Tract 185.09, San Diego County, California",4994,665,2323,557,376,241,97,62,152,89,0,132,1753,659,293,153,158,114,135,111
1400000US06073018510,06073018510,"Census Tract 185.10, San Diego County, California",2676,358,1493,371,230,134,25,37,160,107,0,132,588,299,180,148,0,132,180,148
